Date,Type,Close/Last,Volume,Open,High,Low
3/7/2025,Apple,239.07,46273570, 235.105, 241.37, 234.76
3/6/2025,Apple, 235.33,45170420, 234.435, 237.86, 233.1581
3/5/2025,Apple, 235.74,47227640, 235.42, 236.55, 229.23
3/4/2025,Apple, 235.93,53798060, 237.705, 240.07, 234.68
3/3/2025,Apple, 238.03,47183990, 241.79, 244.0272, 236.112
02/28/2025,Apple, 241.84,56833360, 236.95, 242.09, 230.20
02/27/2025,Apple, 237.30,41153640, 239.41, 242.46, 237.06
02/26/2025,Apple, 240.36,44433560, 244.33, 244.98, 239.13
02/25/2025,Apple, 247.04,48013270, 248.00, 250.00, 244.91
02/24/2025,Apple, 247.10,51326400, 244.925, 248.86, 244.42
02/21/2025,Apple, 245.55,53197430, 245.95, 248.69, 245.22
02/20/2025,Apple, 245.83,32316910, 244.94, 246.78, 244.29
02/19/2025,Apple, 244.87,32204220, 244.66, 246.01, 243.1604
02/18/2025,Apple, 244.47,48822490, 244.15, 245.18, 241.84
02/14/2025,Apple, 244.60,40896230, 241.25, 245.55, 240.99
02/13/2025,Apple, 241.53,53614050, 236.91, 242.3399, 235.57
2/12/2025,Apple, 236.87,45243290, 231.20, 236.96, 230.68
2/11/2025,Apple, 232.62,53718360, 228.20, 235.23, 228.13
2/10/2025,Apple, 227.65,33115650, 229.57, 230.585, 227.20
2/7/2025,Apple, 227.63,39707220, 232.60, 234.00, 227.26
2/6/2025,Apple, 233.22,29925350, 231.285, 233.80, 230.425
2/5/2025,Apple, 232.47,39664990, 228.53, 232.67, 228.27
2/4/2025,Apple, 232.80,45067300, 227.25, 233.13, 226.65
2/3/2025,Apple, 228.01,73063300, 229.99, 231.83, 225.70
01/31/2025,Apple, 236.00,101075100, 247.19, 247.19, 233.44
01/30/2025,Apple, 237.59,55658280, 238.665, 240.79, 237.21
01/29/2025,Apple, 239.36,45486100, 234.12, 239.855, 234.01
01/28/2025,Apple, 238.26,75707570, 230.85, 240.19, 230.81
01/27/2025,Apple, 229.86,94863420, 224.02, 232.15, 223.98
01/24/2025,Apple, 222.78,54697910, 224.78, 225.63, 221.41
01/23/2025,Apple, 223.66,60234760, 224.74, 227.03, 222.30
01/22/2025,Apple, 223.83,64126500, 219.79, 224.12, 219.79
01/21/2025,Apple, 222.64,98070430, 224.00, 224.42, 219.38
01/17/2025,Apple, 229.98,68488300, 232.115, 232.29, 228.48
01/16/2025,Apple, 228.26,71759050, 237.35, 238.01, 228.03
01/15/2025,Apple, 237.87,39831970, 234.635, 238.96, 234.43
01/14/2025,Apple, 233.28,39435290, 234.75, 236.12, 232.472
01/13/2025,Apple, 234.40,49630730, 233.53, 234.67, 229.72
1/10/2025,Apple, 236.85,61710860, 240.01, 240.16, 233.00
1/8/2025,Apple, 242.70,37628940, 241.92, 243.7123, 240.05
1/7/2025,Apple, 242.21,40855960, 242.98, 245.55, 241.35
1/6/2025,Apple, 245.00,45045570, 244.31, 247.33, 243.20
1/3/2025,Apple, 243.36,40244110, 243.36, 244.18, 241.89
1/2/2025,Apple, 243.85,55740730, 248.93, 249.10, 241.8201
12/31/2024,Apple, 250.42,39480720, 252.44, 253.28, 249.43
12/30/2024,Apple, 252.20,35557540, 252.23, 253.50, 250.75
12/27/2024,Apple, 255.59,42355320, 257.83, 258.70, 253.06
12/26/2024,Apple, 259.02,27262980, 258.19, 260.10, 257.63
12/24/2024,Apple, 258.20,23234710, 255.49, 258.21, 255.29
12/23/2024,Apple, 255.27,40858770, 254.77, 255.65, 253.45
12/20/2024,Apple, 254.49,147495300, 248.04, 255.00, 245.69
12/19/2024,Apple, 249.79,60882260, 247.50, 252.00, 247.0949
12/18/2024,Apple, 248.05,56774100, 252.16, 254.28, 247.74
12/17/2024,Apple, 253.48,51356360, 250.08, 253.83, 249.78
12/16/2024,Apple, 251.04,51694750, 247.99, 251.38, 247.65
12/13/2024,Apple, 248.13,33155290, 247.815, 249.2902, 246.24
12/12/2024,Apple, 247.96,32777530, 246.89, 248.74, 245.68
12/11/2024,Apple, 246.49,45205810, 247.96, 250.80, 246.2601
12/10/2024,Apple, 247.77,36914810, 246.89, 248.21, 245.34
12/9/2024,Apple, 246.75,44649230, 241.83, 247.24, 241.75
12/6/2024,Apple, 242.84,36870620, 242.905, 244.63, 242.08
12/5/2024,Apple, 243.04,40033880, 243.99, 244.54, 242.13
12/4/2024,Apple, 243.01,44383940, 242.87, 244.11, 241.25
12/3/2024,Apple, 242.65,38861020, 239.81, 242.76, 238.90
12/2/2024,Apple, 239.59,48137100, 237.27, 240.79, 237.16
11/29/2024,Apple, 237.33,28481380, 234.805, 237.81, 233.97
